VitenskapeligNavn;Autor;NorskNavn;Tre eller busk eller  både og?
Abies alba;Mill.;edelgran;T
Abies amabilis;(Douglas ex Loudon) J.Forbes;stillehavsedelgran;T
Abies balsamea;(L.) Mill.;balsamedelgran;T
Abies cephalonica;Loudon;gresk edelgran;T
Abies concolor;(Gordon & Glend.) Lindl. ex Hildebr.;koloradoedelgran;T
Abies grandis;(Douglas ex D.Don) Lindl.;kjempeedelgran;T
Abies koreana;E.H. Wilson;koreaedelgran;T
Abies lasiocarpa;(Hook.) Nutt.;fjelledelgran;T
Abies magnifica;A.Murray bis;praktedelgran;T
Abies mariesii;Mast.;mariesedelgran;T
Abies nordmanniana;(Steven) Spach;nordmannsedelgran;T
Abies procera;Rehder;nobelgran;T
Abies sachalinensis;(F.Schmidt) Mast.;sakhalinedelgran;T
Abies sibirica;Ledeb.;sibiredelgran;T
Abies veitchii;Lindl.;veitchedelgran;T
Acer campestre;L.;naverlønn;T
Acer ginnala;Maxim.;sibirlønn;T
Acer negundo;L.;asklønn;T
Acer pseudoplatanus;L.;platanlønn;T
Acer pseudosieboldianum;(Pax) Kom.;korealønn;T
Acer rubrum;L.;Rødlønn;t
Acer rufinerve;Siebold & Zucc.;;t
Acer saccharum;Marshall;sukkerlønn;T
Acer tataricum;L.;tatarlønn;T
Acer tegmentosum;Maxim.;;T
Aesculus hippocastanum;L.;hestekastanje;T
Ailanthus altissima;(Mill.) Swingle;gudetre;T B
Alnus alnobetula;(Ehrh.) K.Koch;grønnor;T
Alnus cordata;(Loisel.) Duby;;t
Alnus incana rugosa;(Du Roi) R.T.Clausen;;t b
Alnus rubra;Bong.;;t
Araucaria araucana;(Molina) K.Koch;apeskrekktre;T
Calocedrus decurrens;(Torr.) Florin;kaliforniadufttre;T
Carpinus betulus;L.;agnbøk;T
Castanea sativa;Mill.;edelkastanje;T
Cercidiphyllum japonicum;Siebold & Zucc. ex J.J.Hoffm. & J.H.Schult. bis;hjertetre;T B
Chamaecyparis lawsoniana;(A.Murray bis) Parl.;lawsonsypress;T
Chamaecyparis pisifera;(Siebold & Zucc.) Endl.;nålesypress;T
Corylus maxima;Mill.;storhassel;T
Crataegus ×macrocarpa;Hegetschw.;parkbegerhagtorn;T B
Crataegus ×media;Bechst.;hybridparkhagtorn;T B
Crataegus flabellata;(Bosc ex Spach) K.Koch;kanadahagtorn;T B
Crataegus laevigata;(Poir.) DC.;parkhagtorn;T B
Crataegus macracantha;Lodd. ex Loudon;sylhagtorn;T B
Crataegus sanguinea;Pall.;sibirhagtorn;T B
Cryptomeria japonica;(Thunb. ex L. f.) D.Don;japanseder;T
Ilex ×meserveae;S.Y.Hu;hybridkristtorn;T
Juglans cinerea;L.;smørvalnøtt;T
Juglans nigra;L.;;t
Juglans regia;L.;valnøtt;T
Laburnum ×watereri;(A.C.Rosenthal & Bermann) Dippel;hybridgullregn;T B
Laburnum alpinum;(Mill.) J.Presl;alpegullregn;T B
Laburnum anagyroides;Medik.;gullregn;T B
Larix ×marschlinsii;Coaz;hybridlerk;T
Larix decidua;Mill.;europalerk;T
Larix kaempferi;(Lamb.) Carrière;japanlerk;T
Larix sibirica;Ledeb.;sibirlerk;T
Malus ×purpurea;(Eug.Barbier) Rehder;purpureple;T
Malus asiatica;Nakai;kinaeple;T
Malus baccata;(L.) Borkh.;bæreple;T
Malus dasyphylla;Borkh.;paradiseple;T
Malus domestica;(Suckow) Borkh.;eple;T
Malus floribunda;Siebold ex Van Houtte;roseeple;T
Malus prunifolia;(Willd.) Borkh.;;T
Malus sargentii;Rehder;sargenteple;B
Malus sieboldii;(Regel) Rehder;;T
Malus toringo;(Siebold) Siebold ex de Vriese;rogneple;T B
Nothofagus antarctica;(G.Forst.) Oerst.;antarktisk sørbøk;T
Phellodendron amurense;Rupr.;amurkorktre;T
Picea ×lutzii;Little;lutzgran;T
Picea engelmannii;Parry ex Engelm.;engelmannsgran;T
Picea glauca;(Moench) Voss;hvitgran;T
Picea mariana;(Mill.) Britton, Sterns & Poggenb.;svartgran;T
Picea omorika;(Pan?i?) Purk.;serbergran;T
Picea orientalis;(L.) Peterm.;orientgran;T
Picea pungens;Engelm.;blågran;T
Picea sitchensis;(Bong.) Carrière;sitkagran;T
Pinus banksiana;Lamb.;banksfuru;T
Pinus cembra;L.;sembrafuru;T
Pinus contorta;Douglas ex Loudon;vrifuru;T
Pinus mugo;Turra;bergfuru;T B
Pinus mugo uncinata;(Ramond ex DC.) Domin;fransk bergfuru;T B
Pinus nigra;J.F.Arnold;svartfuru;T
Pinus peuce;Griseb.;silkefuru;T
Pinus pumila;(Pall.) Regel;sibirsk dvergfuru;b
Pinus sibirica;Du Tour;sibirsk sembrafuru;T
Pinus strobus;L.;weymouthfuru;T
Populus ×berolinensis;K.Koch;berlinerpoppel;T
Populus ×canadensis;Moench;kanadapoppel;T
Populus ×candicans;Aiton;ontariopoppel;T
Populus ×canescens;(Aiton) Sm.;gråpoppel;T
Populus alba;L.;sølvpoppel;T
Populus balsamifera;L.;balsampoppel;T
Populus balsamifera 'Elongata';;trønderpoppel;T
Populus balsamifera 'Hortensis';;ekte balsampoppel;T
Populus balsamifera 'Tristis';;sørgepoppel;T
Populus deltoides;W.Bartram ex Marshall;virginiapoppel;T
Populus laurifolia;Ledeb.;laurbærpoppel;T
Populus nigra;L.;svartpoppel;T
Populus simonii;Carrière;kinapoppel;T
Populus trichocarpa;Torr. & A.Gray ex Hook.;kjempepoppel;T
Prunus cerasifera;Ehrh.;kirsebærplomme;T
Prunus cerasus;L.;kirsebær;T
Prunus domestica domestica;;hageplomme;T
Prunus domestica insititia;(L.) Bonnier & Layens;kreke;T
Prunus laurocerasus;L.;laurbærhegg;B
Prunus mahaleb;L.;mahaleb;T
Prunus maackii;Rupr.;neverhegg;T
Prunus nipponica;Matsum.;;b
Prunus pensylvanica;L. f.;;T B
Prunus sargentii;Rehder;;t
Prunus serotina;Ehrh.;romhegg;T
Prunus tenella;Batsch;;b
Prunus triloba;Lindl.;rosemandel;b
Prunus virginiana;L.;virginiahegg;T
Pseudotsuga menziesii;(Mirb.) Franco;douglasgran;T
Pterocarya rhoifolia;Siebold & Zucc.;japansk vingenøtt;T
Quercus cerris;L.;frynseeik;T
Quercus rubra;L.;rødeik;T
Robinia pseudoacacia;L.;robinia;T
Robinia viscosa;Vent.;klisterrobinia;T
Salix 'Brekkavier';;brekkavier;B
Salix ×alopecuroides;Tausch ex Opiz;bronsepil;T B
Salix ×calodendron;Wimm.;fagervier;b
Salix ×dasyclados;Wimm.;fløyelsvier;B
Salix ×ehrhartiana;G.Mey.;elvepil;T
Salix ×fragilis;L.;grønnpil;T
Salix ×holosericea;Willd.;gråpil;B
Salix ×laurina;Sm.;laurbærvier;B
Salix ×meyeriana;Rostk. ex Willd.;blankpil;T
Salix ×mollissima;Ehrh.;flettepil;B
Salix ×pendulina;Wender.;fontenepil;T
Salix ×pentandroides;Rouy;trippelpil;T
Salix ×rubra;Huds.;silkerødpil;B
Salix ×salamonii;(Carrière) Carrière;sørgepil;T
Salix ×smithiana;Willd.;namdalspil;T B
Salix acutifolia;Willd.;plommepil;T
Salix alaxensis;(Andersson) Coville;alaskavier;T B
Salix alba 'Chermesina';;øresundspil;T
Salix alba 'Sericea';;sølvpil;T
Salix alba 'Vitellina';;gullpil;T
Salix alba alba;;elvehvitpil;T
Salix atrocinerea;Brot.;rustselje;B
Salix babylonica;L.;tårepil;T
Salix daphnoides daphnoides;;mellomeuropeisk doggpil;T
Salix daphnoides pomeranica;(Willd. ex Link) W.D.J.Koch;pommersk doggpil;T B
Salix euxina;I.V.Belyaeva;skjørpil;T
Salix euxina 'Bullata';;kulepil;T
Salix lasiandra;Benth.;stillehavspil;T B
Salix purpurea;L.;rødpil;B
Salix schwerinii;E.L.Wolf;sibirkurvpil;T B
Salix viminalis;L.;kurvpil;T B
Sambucus nigra;L.;svarthyll;T B
Sambucus racemosa;L.;buskhyll;B
Sorbus ×arnoldiana;Rehder;;t b
Sorbus cashmiriana;Hedl.;;t
Sorbus commixta;Hedl.;korearogn;T
Sorbus koehneana;C.K.Schneid.;hvitrogn;T
Sorbus reducta;Diels;;b
Sorbus ulleungensis;Chin S.Chang;;t
Sorbus vilmorinii;C.K.Schneid.;;t b
Syringa josikaea;J.Jacq. ex Rchb.;ungarsk syrin;B
Syringa komarowii;C.K.Schneid.;nikkesyrin;B
Syringa reticulata;(Blume) H.Hara;ligustersyrin;T
Syringa vulgaris;L.;syrin;B
Taxus ×media;Rehder;hybridbarlind;T B
Taxus cuspidata;Siebold & Zucc.;japanbarlind;B
Thuja occidentalis;L.;tuja;T
Thuja plicata;Donn ex D.Don;kjempetuja;T
Tilia ×europaea;L.;parklind;T
Tilia platyphyllos;Scop.;storlind;T
Tilia platyphyllos cordifolia;(Besser) C.K.Schneid.;;T
Tsuga canadensis;(L.) Carrière;kanadahemlokk;T
Tsuga diversifolia;(Maxim.) Mast.;;t
Tsuga heterophylla;(Raf.) Sarg.;vestamerikansk hemlokk;T
Tsuga mertensiana;(Bong.) Carrière;fjellhemlokk;T
Ulmus ×hollandica;Mill.;parkalm;T
Ulmus laevis;Pall.;vrangalm;T
Ulmus minor;Mill.;lundalm;T
Ulmus pumila;L.;;t
